Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
FOO.DE,"Salesforce, Inc.",193.00,-0.90,-0.46%,"1,435","1,733",187.982B,567.65
AMD0.F,"Advanced Micro Devices, Inc.",16.60,-0.50,-2.92%,950,119,187.724B,92.22
L3H.F,Shell plc,55.00,+0.50,+0.92%,75,27,187.668B,4.86
TN8.F,Thermo Fisher Scientific Inc.,486.40,+0.10,+0.02%,216,101,187.615B,34.13
NFC.F,"Netflix, Inc.",407.25,+2.00,+0.49%,178,298,187.077B,47.24
FOO.F,"Salesforce, Inc.",191.60,-1.20,-0.62%,43,322,186.618B,532.22
TN8.DE,Thermo Fisher Scientific Inc.,483.50,-2.50,-0.51%,390,172,186.496B,33.83
AMD.F,"Advanced Micro Devices, Inc.",113.78,-3.34,-2.85%,"1,282","1,555",183.227B,669.29
FOMA.F,"Fomento Económico Mexicano, S.A.B. de C.V.",102.00,+1.00,+0.99%,15,1,182.489B,30.09
FOMC.F,"Fomento Económico Mexicano, S.A.B. de C.V.",10.20,0.00,0.00%,240,4,182.489B,26.84
AMD.DE,"Advanced Micro Devices, Inc.",112.34,-4.64,-3.97%,"39,532","27,798",180.908B,624.11
PC6.F,PetroChina Company Limited,0.6640,+0.0050,+0.76%,"16,000","16,917",176.381B,6.04
TSFA.SG,Taiwan Semiconductor Manufacturing Company Limited,96.70,-1.10,-1.12%,237,802,495.3B,43.36
ABL.F,Abbott Laboratories,94.95,+0.13,+0.14%,20,178,167.494B,31.23
LIN.F,Linde plc,344.70,+0.10,+0.03%,"1,975","1,734",169.146B,46.39
ABL.DE,Abbott Laboratories,94.94,-0.93,-0.97%,349,373,165.314B,30.93
CTM.F,China Mobile Limited,7.46,-0.02,-0.27%,"20,690","11,777",164.384B,9.69
LIN.DE,Linde plc,346.15,+0.75,+0.22%,"25,153","48,106",170.362B,42.89
DAP.DE,Danaher Corporation,220.50,-0.90,-0.41%,"1,211",796,162.707B,25.67
DAP.F,Danaher Corporation,219.60,-0.80,-0.36%,283,413,162.496B,25.80
EK7.F,Agricultural Bank of China Limited,0.3320,0.0000,0.00%,30,80,161.574B,3.69
EK7A.F,Agricultural Bank of China Limited,8.65,0.00,0.00%,100,1,160.932B,3.81
NKE0.F,"NIKE, Inc.",14.80,+0.30,+2.07%,20,33,160.025B,4.53
NKE.F,"NIKE, Inc.",102.82,-1.20,-1.15%,"1,624",491,159.07B,32.13
CTP2.F,Comcast Corporation,37.83,+0.27,+0.72%,50,150,158.942B,30.51
NKE.DE,"NIKE, Inc.",101.76,-1.30,-1.26%,"4,106","2,081",158.056B,31.80
CTP2.DE,Comcast Corporation,37.60,-0.30,-0.79%,450,435,156.559B,30.32
WDP.F,The Walt Disney Company,84.64,-0.36,-0.42%,"1,650","1,661",155.92B,41.29
WDP.DE,The Walt Disney Company,84.49,-2.51,-2.89%,"8,448","9,463",154.389B,39.67
WDP0.F,The Walt Disney Company,7.55,-0.15,-1.95%,250,31,153.533B,3.53
C6TB.F,China Construction Bank Corporation,11.40,-0.20,-1.72%,25,0,151.343B,3.42
C6T.F,China Construction Bank Corporation,0.6000,+0.0010,+0.17%,771,"3,779",150.315B,3.53
TII.F,Texas Instruments Incorporated,162.82,-1.82,-1.11%,122,184,147.784B,19.71
TII.DE,Texas Instruments Incorporated,162.34,-1.78,-1.08%,"4,651",266,147.394B,19.17
SAP.F,SAP SE,124.80,-0.22,-0.18%,"3,427","3,435",146.192B,87.27
NWT.F,Wells Fargo & Company,38.90,-0.30,-0.75%,50,345,145.98B,12.31
SAP.DE,SAP SE,124.78,-0.70,-0.56%,1.371M,1.693M,145.633B,87.87
TM5.F,"T-Mobile US, Inc.",121.16,+1.44,+1.20%,235,244,145.379B,43.27
SAPA.F,SAP SE,123.00,-1.00,-0.81%,30,128,145.269B,86.01
NWT.DE,Wells Fargo & Company,38.65,-0.74,-1.89%,260,"1,254",145.005B,11.75
DIO.F,Christian Dior SE,797.50,+1.50,+0.19%,1,11,144.239B,24.92
DIO0.F,Christian Dior SE,196.00,0.00,0.00%,2,0,143.968B,23.93
DIO.DE,Christian Dior SE,793.50,-8.00,-1.00%,11,5,143.156B,24.45
INL.DE,Intel Corporation,33.09,+1.25,+3.91%,"52,732","40,275",142.932B,N/A
UPAB.F,"United Parcel Service, Inc.",163.20,+3.50,+2.19%,40,26,142.272B,14.13
HBC2.F,HSBC Holdings plc,35.20,+0.20,+0.57%,872,20,142.77B,6.73
HBC1.F,HSBC Holdings plc,7.12,-0.09,-1.26%,"1,559","2,377",141.624B,6.72
HBC1.DE,HSBC Holdings plc,7.11,-0.06,-0.78%,"13,248","25,801",141.405B,6.71
BACB.F,Verizon Communications Inc.,10.80,0.00,0.00%,20,69,140.418B,2.28
W8VS.F,Bank of China Limited,8.80,-0.10,-1.12%,800,14,140.068B,3.71
BAC.F,Verizon Communications Inc.,33.23,+0.16,+0.48%,"1,936","1,629",139.699B,6.98
DWD.DE,Morgan Stanley,81.05,-0.85,-1.04%,148,577,135.362B,14.98
BAC.DE,Verizon Communications Inc.,33.17,+0.08,+0.23%,"4,480","10,189",139.467B,6.94
DWD.F,Morgan Stanley,80.44,-1.24,-1.52%,34,115,134.344B,14.81
INL.F,Intel Corporation,32.76,+0.04,+0.12%,"12,518","7,304",137.722B,N/A
FP3.F,"NextEra Energy, Inc.",67.66,-0.33,-0.49%,"2,122",902,136.993B,21.90
SIE.DE,Siemens Aktiengesellschaft,165.78,+1.44,+0.88%,1.356M,1.203M,131.388B,22.07
4I1.F,Philip Morris International Inc.,86.40,+0.30,+0.35%,790,373,136.377B,16.81
