Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
20. Sep 2007,Delisted (Notierungsaufnahme),MagForce AG, Pharma & Gesundheit,None,None," € 60,70 "," € 228.960.400,00"
18. Sep 2007,Delisted (Notierungsaufnahme),EMI European Media Investment AG, -kein-,None,None," € 11,60 "," € 11.600.000,00"
13. Sep 2007,Delisted (Notierungsaufnahme),Ancan Resources PLC, -kein-,None,None," € 0,75 "," € 11.257.125,00"
12. Sep 2007,Delisted (Notierungsaufnahme),Campus Investments PLC, -kein-,None,None," € 2,50 "," € 37.523.750,00"
12. Sep 2007,Delisted (Notierungsaufnahme),MCI med. care International AG, -kein-,None,None," € 8,50 "," € 85.000.000,00"
11. Sep 2007,Delisted (Notierungsaufnahme),seekport.ag, -kein-,None,None," € 4,75 "," € 475.000.000,00"
11. Sep 2007,Delisted (Notierungsaufnahme),BK Oil AG, -kein-,None,None," € 7,50 "," € 75.000.000,00"
07. Sep 2007,Delisted (Notierungsaufnahme),Detny Footwear Inc., -kein-,None,None," € 1,00 "," € 9.211.906,00"
05. Sep 2007,Delisted (Notierungsaufnahme),Grit International Inc., -kein-,None,None," € 1,00 "," € 15.045.000,00"
05. Sep 2007,Delisted (Notierungsaufnahme),SWISS Chillmi AG, -kein-,None,None," € 1,55 "," € 310.000.000,00"
04. Sep 2007,Delisted (Notierungsaufnahme),BBK Kontor Berlin AG, -kein-,None,None," € 2,20 "," € 550.000,00"
31. Aug 2007,Delisted (Notierungsaufnahme),EarthSearch Communications Inc., -kein-,None,None," € 2,00 "," € 44.251.106,00"
31. Aug 2007,Delisted (Notierungsaufnahme),Backbone Technology AG, -kein-,None,None," € 11,50 "," € 1.725.000,00"
21. Aug 2007,Delisted (Notierungsaufnahme),Nirek Resources Inc., -kein-,None,None," € 1,10 "," € 16.511.802,00"
21. Aug 2007,Delisted (Notierungsaufnahme),Schraad Metallbau AG, -kein-,None,None," € 5,00 "," € 1.000.000,00"
21. Aug 2007,Delisted (Notierungsaufnahme),Lobeck Medical AG, -kein-,None,None," € 4,20 "," € 546.000,00"
20. Aug 2007,Delisted (Notierungsaufnahme),GIG Grundbesitz Immobilien AG, -kein-,None,None," € 2,50 "," € 125.000,00"
20. Aug 2007,Quotation Board (Notierungsaufnahme),Sandpiper Digital Payments AG, Finanzdienstleistung,None,None," € 1,05 "," € 40.530.000,00"
16. Aug 2007,Delisted (Notierungsaufnahme),Juragent AG, -kein-,None,None," € 4,40 "," € 8.998.880,00"
13. Aug 2007,Delisted (Notierungsaufnahme),Rendato Corp., -kein-,None,None," € 4,00 "," € 16.620.000,00"
13. Aug 2007,Delisted (Notierungsaufnahme),ARCHEA Biogas N.V., -kein-,None,None," € 1,00 "," € 18.437.500,00"
10. Aug 2007,Delisted (Notierungsaufnahme),TKS Real Estate PLC, -kein-,None,None," € 14,50 "," € 32.625.000,00"
10. Aug 2007,Delisted (Notierungsaufnahme),Matador Private Equity AG, -kein-,None,None," € 6,82 "," € 13.790.350,00"
09. Aug 2007,Scale (Notierungsaufnahme),Ringmetall AG, Finanzdienstleistung,None,None," € 1,02 "," € 15.912.000,00"
08. Aug 2007,Prime Standard (Transfer),ecotel communication ag, Telekommunikation,None,None,None,None
08. Aug 2007,Delisted (Notierungsaufnahme),MSR Technologies Inc., -kein-,None,None," € 0,95 "," € 31.901.950,00"
31. Jul 2007,Scale (Notierungsaufnahme),2G Energy AG, Versorger,None,None," € 8,10 "," € 32.643.000,00"
26. Jul 2007,Prime Standard (Privatplatzierung),SAF-HOLLAND SE, Industrie," € 19,25 "," € 362.619.469,00"," € 19,25 "," € 362.619.469,00"
25. Jul 2007,Delisted (Notierungsaufnahme),Motion Network Holding Plc, -kein-,None,None," € 1,50 "," € 30.000.000,00"
23. Jul 2007,Delisted (Notierungsaufnahme),Voltavis AG, -kein-,None,None," € 1,00 "," € 60.000.000,00"
19. Jul 2007,Delisted (Neuemission),m4e AG, Medien," € 6,94 "," € 22.902.000,00"," € 6,94 "," € 22.902.000,00"
18. Jul 2007,Delisted (Notierungsaufnahme),Most Wanted Holding AG, -kein-,None,None," € 0,55 "," € 6.875.000,00"
17. Jul 2007,Delisted (Notierungsaufnahme),Nameprotect AG, -kein-,None,None," € 10,00 "," € 3.500.000,00"
16. Jul 2007,Delisted (Notierungsaufnahme),Prime Beteiligungen AG, -kein-,None,None," € 0,79 "," € 47.400.000,00"
13. Jul 2007,Basic Board (Neuemission),Homag Group AG, Industrie," € 32,00 "," € 502.016.000,00"," € 32,00 "," € 502.016.000,00"
12. Jul 2007,Basic Board (Neuemission),EnviTec Biogas AG, Industrie," € 50,50 "," € 757.500.000,00"," € 50,50 "," € 757.500.000,00"
06. Jul 2007,General Standard (Neuemission),ZhongDe Waste Technology AG, Industrie," € 30,00 "," € 390.000.000,00"," € 30,00 "," € 390.000.000,00"
04. Jul 2007,Delisted (Notierungsaufnahme),Bankhaus Main AG, -kein-,None,None," € 7,50 "," € 23.250.000,00"
04. Jul 2007,Delisted (Notierungsaufnahme),PlayJack N.V., -kein-,None,None," € 0,31 "," € 1.860.000,00"
03. Jul 2007,Delisted (Notierungsaufnahme),New African Mining AG, -kein-,None,None," € 0,85 "," € 66.300.000,00"
02. Jul 2007,Delisted (Neuemission),Tognum AG, Industrie," € 24,00 "," € 3.153.000.000,00"," € 24,00 "," € 3.153.000.000,00"
02. Jul 2007,Scale (Neuemission),Nynomic AG, Industrie," € 10,30 "," € 37.337.500,00"," € 10,30 "," € 37.337.500,00"
29. Jun 2007,Delisted (Notierungsaufnahme),Volkmann Vermögens Verwaltungs AG, -kein-,None,None," € 1,50 "," € 1.350.000,00"
28. Jun 2007,Delisted (Neuemission),AGO AG Energie + Anlagen, Industrie," € 7,50 "," € 30.000.000,00"," € 7,50 "," € 30.000.000,00"
28. Jun 2007,Delisted (Notierungsaufnahme),Galaxia Telecom International PLC, -kein-,None,None," € 1,00 "," € 458.423.366,00"
28. Jun 2007,Delisted (Notierungsaufnahme),Genesis Commodities AG, -kein-,None,None," € 0,55 "," € 5.500.000,00"
28. Jun 2007,Delisted (Neuemission),VTG Aktiengesellschaft, Transport & Logistik," € 19,00 "," € 406.388.891,00"," € 19,00 "," € 406.388.891,00"
28. Jun 2007,Delisted (Notierungsaufnahme),Finanzkontor Zürich AG, -kein-,None,None," € 0,85 "," € 5.100.000,00"
28. Jun 2007,Delisted (Notierungsaufnahme),EnergyMixx AG, -kein-,None,None," € 1,10 "," € 88.000.000,00"
27. Jun 2007,Delisted (Notierungsaufnahme),MAX Software Inc., -kein-,None,None," € 0,65 "," € 8.775.000,00"
27. Jun 2007,Delisted (Notierungsaufnahme),Con Value AG, -kein-,None,None," € 8,00 "," € 2.000.000,00"
26. Jun 2007,Delisted (Notierungsaufnahme),United Energy Group Plc., -kein-,None,None," € 2,05 "," € 291.209.849,25"
25. Jun 2007,Basic Board (Neuemission),STEICO SE, Industrie," € 18,00 "," € 230.456.700,00"," € 18,00 "," € 230.456.700,00"
22. Jun 2007,Delisted (Notierungsaufnahme),Nordland Ethanol International PLC, -kein-,None,None," € 2,00 "," € 48.000.000,00"
21. Jun 2007,Delisted (Notierungsaufnahme),Eurocastle Investment Limited, Finanzdienstleistung,None,None," € 34,00 "," € 2.169.867.454,00"
18. Jun 2007,Prime Standard (Neuemission),InVision AG, Software," € 32,50 "," € 72.637.500,00"," € 32,50 "," € 72.637.500,00"
15. Jun 2007,Basic Board (Neuemission),Deutsche Technologie Beteiligungen AG (DeTeBe), Finanzdienstleistung," € 4,60 "," € 15.180.000,00"," € 4,60 "," € 15.180.000,00"
13. Jun 2007,Delisted (Notierungsaufnahme),Uranio AG, -kein-,None,None," € 0,92 "," € 16.560.000,00"
11. Jun 2007,Prime Standard (Neuemission),Gerresheimer AG, Pharma & Gesundheit," € 40,00 "," € 1.256.000.000,00"," € 40,00 "," € 1.256.000.000,00"
08. Jun 2007,Delisted (Notierungsaufnahme),eSky Exchange Corp., -kein-,None,None," € 0,02 "," € 200.000,00"
04. Jun 2007,Delisted (Notierungsaufnahme),Aquavinum Holding AG, -kein-,None,None," € 2,00 "," € 20.000.000,00"
04. Jun 2007,Delisted (Notierungsaufnahme),BPRE Bio Power Renewable Energy Inc., -kein-,None,None," € 22,00 "," € 770.000.000,00"
31. Mai 2007,Delisted (Notierungsaufnahme),Sino International Logistic Co. N.V., -kein-,None,None," € 0,10 "," € 7.500.000,00"
29. Mai 2007,Basic Board (Notierungsaufnahme),TMM Real Estate Development PLC, Finanzdienstleistung,None,None," € 11,65 "," € 6.033.787,00"
29. Mai 2007,Delisted (Notierungsaufnahme),Miramonte Mining AG, -kein-,None,None," € 0,80 "," € 47.024.000,00"
25. Mai 2007,Delisted (Notierungsaufnahme),Managed Gaming Solutions PLC, -kein-,None,None," € 0,85 "," € 122.847.540,00"
25. Mai 2007,Delisted (Notierungsaufnahme),ThermoShield AG, -kein-,None,None," € 1,65 "," € 16.500.000,00"
25. Mai 2007,Prime Standard (Transfer),SFC Energy AG, Industrie," € 37,00 "," € 258.028.158,00"," € 37,00 "," € 258.028.158,00"
24. Mai 2007,General Standard (Neuemission),DF Deutsche Forfait AG, Finanzdienstleistung," € 7,90 "," € 53.720.000,00"," € 7,90 "," € 53.720.000,00"
15. Mai 2007,Prime Standard (Neuemission),Wacker Neuson SE, Industrie," € 24,60 "," € 1.254.600.000,00"," € 24,60 "," € 1.254.600.000,00"
15. Mai 2007,Delisted (Notierungsaufnahme),FP Freizeitprojekte AG, -kein-,None,None," € 1,50 "," € 15.000.000,00"
14. Mai 2007,Delisted (Transfer),nextevolution Aktiengesellschaft, -kein-,None,None,None,None
11. Mai 2007,Delisted (Neuemission),Halloren Schokoladenfabrik Aktiengesellschaft, Nahrungsmittel," € 7,10 "," € 32.660.000,00"," € 7,10 "," € 32.660.000,00"
09. Mai 2007,Delisted (Notierungsaufnahme),Grüezi Real Estate AG, Finanzdienstleistung,None,None," € 25,50 "," € 63.750.000,00"
07. Mai 2007,Delisted (Notierungsaufnahme),International Synergy Holding Co. Ltd., -kein-,None,None," € 36,80 "," € 736.000.000,00"
04. Mai 2007,Prime Standard (Transfer),CompuGroup Medical SE & Co. KGaA, Software," € 18,50 "," € 984.557.975,00"," € 18,50 "," € 984.557.975,00"
30. Apr 2007,Delisted (Notierungsaufnahme),Mammut Energy AG, -kein-,None,None," € 1,50 "," € 78.000.000,00"
27. Apr 2007,Delisted (Notierungsaufnahme),UFC Holding N.V., -kein-,None,None," € 0,51 "," € 5.100.000,00"
27. Apr 2007,Delisted (Neuemission),Versatel AG, Telekommunikation," € 29,00 "," € 1.276.000.000,00"," € 29,00 "," € 1.276.000.000,00"
25. Apr 2007,Delisted (Notierungsaufnahme),Terra Aurum Holding AG, -kein-,None,None," € 1,25 "," € 12.500.000,00"
25. Apr 2007,Delisted (Notierungsaufnahme),Hepas Associated Media AG, -kein-,None,None," € 1,00 "," € 10.000.000,00"
23. Apr 2007,Delisted (Notierungsaufnahme),Bioenergy Capital AG, -kein-,None,None," € 5,00 "," € 1.000.000,00"
20. Apr 2007,Delisted (Notierungsaufnahme),GRETA AG, -kein-,None,None," € 6,50 "," € 100.750.000,00"
19. Apr 2007,Basic Board (Notierungsaufnahme),HWA AG, Automobil,None,None," € 25,13 "," € 128.539.950,00"
16. Apr 2007,Delisted (Notierungsaufnahme),MyloadBase N.V., -kein-,None,None," € 0,90 "," € 9.000.000,00"
16. Apr 2007,General Standard (Transfer),OpenLimit Holding AG, Software,None,None,None,None
12. Apr 2007,Delisted (Notierungsaufnahme),AION Diagnostics Inc., -kein-,None,None," € 1,50 "," € 15.207.516,00"
11. Apr 2007,Quotation Board (Neuemission),SMT Scharf AG, Industrie," € 9,50 "," € 39.900.000,00"," € 9,50 "," € 39.900.000,00"
04. Apr 2007,Delisted (Notierungsaufnahme),Videonize PLC, -kein-,None,None," € 4,50 "," € 99.000.000,00"
03. Apr 2007,Delisted (Notierungsaufnahme),Immovaria Real Estate AG, -kein-,None,None," € 1,60 "," € 320.000,00"
03. Apr 2007,Prime Standard (Neuemission),alstria office REIT-AG, Finanzdienstleistung," € 16,30 "," € 912.800.000,00"," € 16,30 "," € 912.800.000,00"
03. Apr 2007,Delisted (Notierungsaufnahme),ZAAB Energy AG, -kein-,None,None," € 10,20 "," € 561.000.000,00"
02. Apr 2007,Prime Standard (Neuemission),Accentro Real Estate AG, Finanzdienstleistung," € 28,30 "," € 218.601.284,00"," € 28,30 "," € 218.601.284,00"
30. Mär 2007,Delisted (Notierungsaufnahme),Gongyou Machines Ltd., -kein-,None,None," € 3,20 "," € 31.345.917,00"
30. Mär 2007,Delisted (Notierungsaufnahme),Out of Africa AG, -kein-,None,None," € 1,50 "," € 3.825.000,00"
30. Mär 2007,Delisted (Notierungsaufnahme),IHP Phoenix Biocycle Industries Holding AG, -kein-,None,None," € 1,05 "," € 1.050.000,00"
27. Mär 2007,Prime Standard (Neuemission),Vita 34 AG, Pharma & Gesundheit," € 14,40 "," € 38.109.600,00"," € 14,40 "," € 38.109.600,00"
26. Mär 2007,Basic Board (Neuemission),InCity Immobilien AG, Finanzdienstleistung," € 9,50 "," € 23.750.000,00"," € 9,50 "," € 23.750.000,00"
23. Mär 2007,Delisted (Notierungsaufnahme),Avitech Lifesciences Inc., -kein-,None,None," € 6,50 "," € 357.891.625,00"
23. Mär 2007,Scale (Neuemission),Vectron Systems AG, Industrie," € 56,55 "," € 28.275.000,00"," € 56,55 "," € 28.275.000,00"
22. Mär 2007,Delisted (Neuemission),Baumot Group AG (TWINTEC AG), Industrie," € 14,10 "," € 91.650.000,00"," € 14,10 "," € 91.650.000,00"
21. Mär 2007,Delisted (Notierungsaufnahme),I.C.C. International Coalition Capital Inc., -kein-,None,None," € 8,00 "," € 80.000.000,00"
21. Mär 2007,Delisted (Notierungsaufnahme),systaic AG, Industrie,None,None," € 6,40 "," € 17.920.000,00"
21. Mär 2007,Delisted (Neuemission),POLIS Immobilien AG, Finanzdienstleistung," € 14,90 "," € 164.659.900,00"," € 14,90 "," € 164.659.900,00"
20. Mär 2007,Basic Board (Neuemission),Varengold Wertpapierhandelsbank AG, Finanzdienstleistung," € 12,20 "," € 16.254.511,00"," € 12,20 "," € 16.254.511,00"
15. Mär 2007,Delisted (Notierungsaufnahme),Chelsea Management Group Inc., -kein-,None,None," € 9,50 "," € 85.598.810,00"
12. Mär 2007,Delisted (Notierungsaufnahme),Fidor Bank AG, Finanzdienstleistung,None,None," € 15,50 "," € 43.031.922,00"
12. Mär 2007,Delisted (Notierungsaufnahme),MetrioPharm AG, -kein-,None,None," € 1,80 "," € 72.000.000,00"
09. Mär 2007,General Standard (Neuemission),HanseYachts Aktiengesellschaft, Industrie," € 36,00 "," € 230.400.000,00"," € 36,00 "," € 230.400.000,00"
08. Mär 2007,General Standard (Neuemission),KROMI Logistik AG, Industrie," € 22,00 "," € 82.500.000,00"," € 22,00 "," € 82.500.000,00"
06. Mär 2007,Delisted (Notierungsaufnahme),Mallorca Lifestyle AG, -kein-,None,None," € 0,85 "," € 850.000,00"
05. Mär 2007,Delisted (Notierungsaufnahme),PELLEX Bioenergie AG, -kein-,None,None," € 4,00 "," € 800.000,00"
02. Mär 2007,Delisted (Notierungsaufnahme),Best Investment Co. Inc., -kein-,None,None," € 4,00 "," € 4.000.000,00"
01. Mär 2007,Delisted (Notierungsaufnahme),Capital Communication AG, -kein-,None,None," € 1,05 "," € 12.600.000,00"
28. Feb 2007,Delisted (Notierungsaufnahme),CONET Technologies AG, Finanzdienstleistung,None,None," € 5,50 "," € 12.375.000,00"
27. Feb 2007,Delisted (Notierungsaufnahme),P & H Logistik AG, -kein-,None,None," € 5,50 "," € 8.250.000,00"
26. Feb 2007,Delisted (Notierungsaufnahme),Kronos Media AG, -kein-,None,None," € 0,55 "," € 5.500.000,00"
23. Feb 2007,Delisted (Notierungsaufnahme),MEXA GOLD Inc., -kein-,None,None," € 0,03 "," € 300.000,00"
22. Feb 2007,Delisted (Notierungsaufnahme),IBS Group Holding Limited, -kein-,None,None," € 16,00 "," € 3.682.839,00"
16. Feb 2007,Delisted (Notierungsaufnahme),Wirefree International Inc., -kein-,None,None," € 0,01 "," € 1.000.000,00"
16. Feb 2007,Delisted (Notierungsaufnahme),LongLife Ventures AG, -kein-,None,None," € 0,10 "," € 2.000.000,00"
15. Feb 2007,Delisted (Notierungsaufnahme),wheel IT AG, -kein-,None,None," € 10,00 "," € 11.600.000,00"
14. Feb 2007,Delisted (Neuemission),ARISTON Real Estate AG, Finanzdienstleistung," € 8,40 "," € 77.532.000,00"," € 8,40 "," € 77.532.000,00"
09. Feb 2007,Delisted (Notierungsaufnahme),Future Tec Inc., -kein-,None,None," € 0,03 "," € 1.500.000,00"
07. Feb 2007,Scale (Neuemission),FinLab AG, Finanzdienstleistung," € 37,50 "," € 144.700.125,00"," € 37,50 "," € 144.700.125,00"
06. Feb 2007,Delisted (Notierungsaufnahme),BKN biostrom AG, -kein-,None,None," € 7,25 "," € 39.875.000,00"
05. Feb 2007,Delisted (Notierungsaufnahme),BCA AG, Software,None,None," € 17,20 "," € 61.898.053,00"
02. Feb 2007,Delisted (Notierungsaufnahme),Infostream Inc., -kein-,None,None," € 0,02 "," € 2.000.000,00"
01. Feb 2007,Delisted (Notierungsaufnahme),AQUAMONDI AG, -kein-,None,None," € 1,00 "," € 1.000.000,00"
01. Feb 2007,Delisted (Notierungsaufnahme),CS Engineering AG, -kein-,None,None," € 0,70 "," € 4.550.000,00"
01. Feb 2007,Delisted (Notierungsaufnahme),ACAZIS AG, -kein-,None,None," € 3,60 "," € 46.800.000,00"
22. Jan 2007,Delisted (Notierungsaufnahme),Lichtenergiewerke AG, -kein-,None,None," € 3,00 "," € 2.250.000,00"
18. Jan 2007,Delisted (Notierungsaufnahme),Swiss Hawk AG, -kein-,None,None," € 0,90 "," € 90.000.000,00"
17. Jan 2007,Delisted (Notierungsaufnahme),Pfaff Industrie Maschinen AG, -kein-,None,None," € 2,42 "," € 24.200.000,00"
12. Jan 2007,Delisted (Notierungsaufnahme),Chernihivske KhimVolokno, -kein-,None,None," € 6,30 "," € 43.224.300,00"
09. Jan 2007,Delisted (Neuemission),ITM Technology AG, Technologie," € 8,25 "," € 14.803.981,50"," € 8,25 "," € 14.803.981,50"
08. Jan 2007,Delisted (Notierungsaufnahme),Global Mineral Resources Corp., -kein-,None,None," € 2,00 "," € 29.920.500,00"
05. Jan 2007,Basic Board (Neuemission),InterCard AG Informationssysteme, Software," € 5,50 "," € 6.600.000,00"," € 5,50 "," € 6.600.000,00"
03. Jan 2007,Delisted (Notierungsaufnahme),Central Kimberley Diamonds Ltd., -kein-,None,None," € 0,06 "," € 1.926.004,00"
29. Dez 2006,Delisted (Notierungsaufnahme),Franca Equity AG, -kein-,None,None," € 3,15 "," € 787.500,00"
28. Dez 2006,Delisted (Notierungsaufnahme),ARTEMIS Global Capital SE, -kein-,None,None," € 10,00 "," € 5.000.000,00"
28. Dez 2006,Delisted (Notierungsaufnahme),Sherbrooke Equity AG, Finanzdienstleistung,None,None," € 2,50 "," € 60.500.000,00"
22. Dez 2006,Delisted (Notierungsaufnahme),SPV Edelmetalle AG, -kein-,None,None," € 2,00 "," € 800.000,00"
22. Dez 2006,Delisted (Notierungsaufnahme),Octagon Energy AG, -kein-,None,None," € 3,50 "," € 350.000,00"
22. Dez 2006,Delisted (Notierungsaufnahme),SMILES AG, -kein-,None,None," € 1,50 "," € 4.714.574,00"
22. Dez 2006,Delisted (Notierungsaufnahme),Accel Energy AG, -kein-,None,None," € 1,05 "," € 52.500.000,00"
22. Dez 2006,Delisted (Neuemission),aovo Touristik AG, -kein-," € 4,70 "," € 5.978.400,00"," € 4,70 "," € 5.978.400,00"
21. Dez 2006,Delisted (Notierungsaufnahme),NanoStrategy AG, -kein-,None,None," € 6,00 "," € 3.000.000,00"
21. Dez 2006,Delisted (Notierungsaufnahme),Pfandfinanz Holding AG, -kein-,None,None," € 1,80 "," € 1.800.000,00"
21. Dez 2006,Delisted (Notierungsaufnahme),eMind AG, -kein-,None,None," € 1,05 "," € 367.500,00"
21. Dez 2006,Delisted (Notierungsaufnahme),Bavaria Venture Capital & Trade AG, -kein-,None,None," € 12,00 "," € 3.600.000,00"
21. Dez 2006,Delisted (Notierungsaufnahme),n.runs AG, Software,None,None," € 9,50 "," € 5.320.000,00"
20. Dez 2006,Delisted (Notierungsaufnahme),Fortune Graphite Inc., -kein-,None,None," € 1,75 "," € 55.914.211,00"
20. Dez 2006,Delisted (Notierungsaufnahme),Tier-Spezi AG, -kein-,None,None," € 1,00 "," € 10.000.000,00"
20. Dez 2006,Delisted (Notierungsaufnahme),Dahava Resources Ltd., -kein-,None,None," € 3,00 "," € 13.565.214,00"
15. Dez 2006,Delisted (Notierungsaufnahme),Genesys Wind AG, -kein-,None,None," € 12,22 "," € 65.988.000,00"
14. Dez 2006,Delisted (Notierungsaufnahme),aktiengesellschaft TOKUGAWA, -kein-,None,None," € 3,00 "," € 1.080.000,00"
14. Dez 2006,Delisted (Notierungsaufnahme),Caelifera Capital AG, -kein-,None,None," € 1,15 "," € 460.000,00"
14. Dez 2006,Basic Board (Notierungsaufnahme),UET United Electronic Technology AG, -kein-,None,None," € 5,70 "," € 28.500.000,00"
14. Dez 2006,Delisted (Notierungsaufnahme),Biogas Nord AG, Industrie,None,None," € 16,90 "," € 25.350.000,00"
13. Dez 2006,Delisted (Notierungsaufnahme),Princess Private Equity Holding Limited, Finanzdienstleistung,None,None," € 80,00 "," € 560.800.000,00"
13. Dez 2006,Basic Board (Notierungsaufnahme),CytoTools AG (bioXXmed AG), Pharma & Gesundheit,None,None," € 12,90 "," € 14.964.000,00"
11. Dez 2006,Prime Standard (Neuemission),Symrise AG, Chemie," € 17,25 "," € 2.038.489.425,00"," € 17,25 "," € 2.038.489.425,00"
11. Dez 2006,Delisted (Notierungsaufnahme),Azur Holdings Inc., -kein-,None,None," € 2,25 "," € 4.500.000,00"
11. Dez 2006,Delisted (Notierungsaufnahme),ABAG AKTIENMARKT BETEILIGUNGS AG, -kein-,None,None," € 5,00 "," € 1.000.000,00"
08. Dez 2006,Delisted (Neuemission),YOUNIQ AG, Finanzdienstleistung," € 17,00 "," € 119.850.000,00"," € 17,00 "," € 119.850.000,00"
07. Dez 2006,Prime Standard (Neuemission),New Work SE, Software," € 30,00 "," € 156.051.000,00"," € 30,00 "," € 156.051.000,00"
06. Dez 2006,Delisted (Notierungsaufnahme),Russia Total Return AG, -kein-,None,None," € 8,00 "," € 8.479.760,00"
06. Dez 2006,Delisted (Notierungsaufnahme),Mox Telecom AG, Industrie,None,None," € 7,50 "," € 18.000.000,00"
01. Dez 2006,Delisted (Notierungsaufnahme),Telecare Health Inc., -kein-,None,None," € 1,00 "," € 39.882.688,00"
01. Dez 2006,Delisted (Neuemission),SKW Stahl-Metallurgie Holding AG, Chemie," € 29,05 "," € 128.466.363,00"," € 29,05 "," € 128.466.363,00"
30. Nov 2006,Prime Standard (Neuemission),Francotyp-Postalia Holding AG, Industrie," € 19,00 "," € 279.300.000,00"," € 19,00 "," € 279.300.000,00"
30. Nov 2006,Delisted (Notierungsaufnahme),ResProp Immobilien AG, -kein-,None,None," € 2,71 "," € 3.707.229,00"
28. Nov 2006,Basic Board (Neuemission),Binect AG, Finanzdienstleistung," € 5,50 "," € 10.815.750,00"," € 5,50 "," € 10.815.750,00"
27. Nov 2006,Delisted (Notierungsaufnahme),Worldwide Mobile Marketing Corp., -kein-,None,None," € 1,00 "," € 16.850.000,00"
27. Nov 2006,Delisted (Notierungsaufnahme),Kenartha Oil & Gas Co. Ltd., -kein-,None,None," € 3,50 "," € 29.037.365,00"
24. Nov 2006,Scale (Neuemission),Nabaltec AG, Industrie," € 16,50 "," € 132.000.000,00"," € 16,50 "," € 132.000.000,00"
24. Nov 2006,Delisted (Notierungsaufnahme),Corona Equity Partner AG, -kein-,None,None," € 6,00 "," € 3.000.000,00"
23. Nov 2006,Delisted (Transfer),C-QUADRAT Investment AG, Finanzdienstleistung," € 42,99 "," € 187.573.968,00"," € 42,99 "," € 187.573.968,00"
17. Nov 2006,Delisted (Transfer),FranconoRheinMain AG, Finanzdienstleistung,None,None,None,None
16. Nov 2006,Delisted (Neuemission),eteleon e-solutions AG, Telekommunikation," € 4,28 "," € 8.453.000,00"," € 4,28 "," € 8.453.000,00"
16. Nov 2006,Delisted (Notierungsaufnahme),Palladius AG, Finanzdienstleistung,None,None," € 10,00 "," € 2.000.000,00"
16. Nov 2006,Delisted (Notierungsaufnahme),GoingPublic Media AG, -kein-,None,None," € 2,60 "," € 2.340.000,00"
13. Nov 2006,Prime Standard (Neuemission),Heidelberg Pharma AG, Pharma & Gesundheit," € 13,80 "," € 165.086.005,00"," € 13,80 "," € 165.086.005,00"
10. Nov 2006,Delisted (Notierungsaufnahme),SEE Real Estate AG, -kein-,None,None," € 10,00 "," € 500.000,00"
09. Nov 2006,Delisted (Notierungsaufnahme),REII - Development AG, -kein-,None,None," € 4,50 "," € 900.000,00"
08. Nov 2006,Basic Board (Neuemission),Nexway AG, Industrie," € 9,25 "," € 46.620.000,00"," € 9,25 "," € 46.620.000,00"
08. Nov 2006,Delisted (Notierungsaufnahme),Blackgold Natural Resources PLC, -kein-,None,None," € 3,00 "," € 228.000.000,00"
08. Nov 2006,Delisted (Notierungsaufnahme),UR Holding S.p.A., Technologie,None,None," € 3,50 "," € 21.958.580,00"
06. Nov 2006,Delisted (Neuemission),PETROTEC AG, Industrie," € 17,00 "," € 178.500.000,00"," € 17,00 "," € 178.500.000,00"
06. Nov 2006,Delisted (Notierungsaufnahme),NBIC Capital AG, -kein-,None,None," € 20,10 "," € 10.050.000,00"
31. Okt 2006,Basic Board (Neuemission),elexxion AG, Industrie," € 4,05 "," € 11.947.500,00"," € 4,05 "," € 11.947.500,00"
30. Okt 2006,Delisted (Notierungsaufnahme),Minaya Capital AG, -kein-,None,None," € 12,00 "," € 5.040.000,00"
30. Okt 2006,Delisted (Neuemission),HAHN-Immobilien-Beteiligungs AG, Finanzdienstleistung," € 10,20 "," € 122.400.000,00"," € 10,20 "," € 122.400.000,00"
26. Okt 2006,Prime Standard (Neuemission),Delticom AG, Handel," € 37,00 "," € 146.019.760,00"," € 37,00 "," € 146.019.760,00"
26. Okt 2006,Basic Board (Neuemission),Muehlhan AG, Industrie," € 5,85 "," € 114.075.000,00"," € 5,85 "," € 114.075.000,00"
26. Okt 2006,Delisted (Neuemission),LipoNova AG, Pharma & Gesundheit," € 28,00 "," € 33.680.500,00"," € 28,00 "," € 33.680.500,00"
25. Okt 2006,Scale (Neuemission),mic AG, Finanzdienstleistung," € 10,00 "," € 21.550.000,00"," € 10,00 "," € 21.550.000,00"
25. Okt 2006,Delisted (Neuemission),LHS Aktiengesellschaft, Software," € 8,50 "," € 123.636.750,00"," € 8,50 "," € 123.636.750,00"
20. Okt 2006,Delisted (Neuemission),hotel.de AG, Konsumgüter," € 22,00 "," € 82.500.000,00"," € 22,00 "," € 82.500.000,00"
20. Okt 2006,Delisted (Notierungsaufnahme),Anthousa Ltd., -kein-,None,None," € 19,00 "," € 364.762.000,00"
20. Okt 2006,Delisted (Notierungsaufnahme),IT-Market Computer Systems AG, -kein-,None,None," € 3,50 "," € 3.675.000,00"
19. Okt 2006,Delisted (Neuemission),GAGFAH S.A., Finanzdienstleistung," € 22,00 "," € 4.950.000.000,00"," € 22,00 "," € 4.950.000.000,00"
19. Okt 2006,Delisted (Transfer),iQ Power AG, Automobil,None,None,None,None
18. Okt 2006,Delisted (Neuemission),Nanogate SE i.A., Industrie," € 32,30 "," € 61.370.000,00"," € 32,30 "," € 61.370.000,00"
