Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
25. Feb 2010,Delisted (Notierungsaufnahme),Hitech Stages Ltd., -kein-,None,None," € 1,80 "," € 8.910.000,00"
23. Feb 2010,Delisted (Dual Listing),eValue Ventures AG, Medien,None,None,None,None
18. Feb 2010,Delisted (Privatplatzierung),PEGG Capital AG, -kein-,None,None," € 1,71 "," € 30.780.000,00"
11. Feb 2010,Delisted (Neuemission),Travel Viva AG, Handel,None,None," € 5,50 "," € 5.500.000,00"
05. Feb 2010,Delisted (Privatplatzierung),Advance Media Group Inc., -kein-,None,None," € 0,80 "," € 11.600.000,00"
04. Feb 2010,Prime Standard (Neuemission),exceet Group SCA, Technologie," € 9,50 "," € 250.000.000,00"," € 9,50 "," € 250.000.000,00"
29. Jan 2010,Delisted (Notierungsaufnahme),True Green Led PLC, -kein-,None,None," € 2,51 "," € 50.200.000,00"
28. Jan 2010,Delisted (Privatplatzierung),GIEAG Immobilien AG, Finanzdienstleistung,None,None," € 1,70 "," € 3.910.000,00"
21. Jan 2010,Delisted (Notierungsaufnahme),Global EcoPower S.A., -kein-,None,None," € 2,90 "," € 44.972.962,20"
13. Jan 2010,Delisted (Privatplatzierung),GMI Global Medical Investors AG, -kein-,None,None," € 1,10 "," € 13.402.400,00"
11. Jan 2010,Delisted (Privatplatzierung),Tantalus Rare Earths AG, -kein-,None,None," € 51,00 "," € 104.910.519,00"
06. Jan 2010,Delisted (Notierungsaufnahme),Rich AG, -kein-,None,None," € 1,11 "," € 56.277.000,00"
05. Jan 2010,Delisted (Privatplatzierung),Eurotex Finanz Inc., -kein-,None,None," € 1,00 "," € 18.270.000,00"
23. Dez 2009,Basic Board (Privatplatzierung),OTRS AG, Software,None,None," € 5,50 "," € 10.175.000,00"
23. Dez 2009,Delisted (Notierungsaufnahme),Noninvasive Medical Technologies Ltd., -kein-,None,None," € 3,50 "," € 62.185.295,00"
22. Dez 2009,Delisted (Notierungsaufnahme),Lotus Resources PLC, -kein-,None,None," € 0,60 "," € 38.547.060,00"
