Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
RZZ.DU,Kingston Resources Ltd,0.0620,+0.0028,+4.73%,N/A,0,N/A,N/A
1QV.DU,Kutcho Copper Corp,0.1200,-0.0005,-0.41%,400,0,N/A,N/A
CRS1.SG,Ercros SA,3.1050,-0.2300,-6.90%,0,2,N/A,N/A
HEI.SG,HeidelbergCement AG,71.90,-0.58,-0.80%,707,"4,103",N/A,N/A
OU5A.DU,Avalon Advanced Materials Inc,0.0948,+0.0146,+18.20%,N/A,0,N/A,N/A
3MW.DU,Lithium Australia Ltd,0.0225,+0.0005,+2.27%,"20,000",892,N/A,N/A
US8.DU,McEwen Mining Inc,6.40,-0.05,-0.78%,250,4,N/A,N/A
V1S.SG,Arkema SA,83.90,-0.48,-0.57%,0,0,N/A,N/A
2CU.DU,The Chemours Co,31.15,+0.90,+2.98%,50,0,N/A,N/A
ISC1.BE,ArcelorMittal South Africa Ltd,0.1750,+0.0050,+2.94%,600,10,N/A,N/A
V4JA.DU,Starcore International Mines Ltd,0.0955,+0.0035,+3.80%,"1,199",27,N/A,N/A
9I0.BE,Advance United Holdings Inc,0.0278,+0.0018,+6.92%,"7,141","1,018",N/A,N/A
0E6.SG,Scandium International Mining Corp,0.0250,-0.0030,-10.71%,0,178,N/A,N/A
AGX.DU,Silver X Mining Corp,0.1800,-0.0060,-3.23%,N/A,0,N/A,N/A
C6R.MU,Cross River Ventures Corp,0.0170,+0.0026,+18.06%,"100,000",0,N/A,N/A
85G1.SG,St-Georges Eco-Mining Corp,0.0901,-0.0068,-7.02%,0,357,N/A,N/A
PH02.DU,Great Atlantic Resources Corp,0.0065,-0.0050,-43.48%,"10,000",0,N/A,N/A
C2U0.DU,HeliosX Lithium & Technologies Corp,0.1670,-0.0010,-0.60%,"1,000",0,N/A,N/A
KP1.DU,Kore Potash PLC,0.0075,0.0000,0.00%,700,0,N/A,N/A
8FD.DU,FenixOro Gold Corp,0.0665,+0.0260,+64.20%,"19,235",0,N/A,N/A
7YC.SG,Synthomer PLC,0.9450,-0.0490,-4.93%,0,83,N/A,N/A
AKU1.DU,Akzo Nobel NV,71.92,+0.02,+0.03%,80,2,N/A,N/A
A7V.BE,iMetal Resources Inc,0.1280,+0.0080,+6.67%,500,"5,226",N/A,N/A
7JR.DU,Northam Platinum Holdings Ltd,7.05,0.00,0.00%,10,0,N/A,N/A
8GC.SG,Glencore PLC,5.61,+0.11,+2.00%,"3,583","8,266",N/A,N/A
MQ4.BE,Miquel y Costas & Miquel SA,11.90,+0.02,+0.17%,390,0,N/A,N/A
7TG.MU,Tristar Gold Inc,0.0975,0.0000,0.00%,"3,000",0,N/A,N/A
23B0.DU,Quantum Battery Metals Co,0.3550,+0.0040,+1.14%,600,"2,614",N/A,N/A
ELO1.BE,Eldorado Gold Corp,9.01,-0.07,-0.83%,25,0,N/A,N/A
WX0.DU,Leo Lithium Ltd,0.6560,+0.0570,+9.52%,340,186,N/A,N/A
AZ3.SG,Aztec Minerals Corp,0.1745,-0.0125,-6.68%,0,"2,046",N/A,N/A
CM8.SG,Compass Minerals International Inc,32.00,+0.20,+0.63%,0,0,N/A,N/A
SD5.BE,Steel Dynamics Inc,95.80,+0.05,+0.05%,2,0,N/A,N/A
LK1.BE,Lake Resources NL,0.2974,-0.0006,-0.20%,"149,250","2,665",N/A,N/A
R05.BE,Rupert Resources Ltd,2.6600,0.0000,0.00%,"1,500",0,N/A,N/A
WS0.DU,Li-FT Power Ltd,6.05,-0.09,-1.47%,100,196,N/A,N/A
9NI.BE,Nippon Paper Industries Co Ltd,7.90,0.00,0.00%,500,0,N/A,N/A
WX0.SG,Leo Lithium Ltd,0.6640,+0.0570,+9.39%,"16,000","14,178",N/A,N/A
FKV1.BE,Conroy Gold and Natural Resources PLC,0.1780,0.0000,0.00%,400,0,N/A,N/A
CWA0.SG,Refined Metals Corp,0.0875,+0.0095,+12.18%,0,522,N/A,N/A
TPY1.BE,Tipco Asphalt PCL,0.4820,0.0000,0.00%,0,0,N/A,N/A
ST5.SG,Steico SE,44.55,-0.65,-1.44%,0,616,N/A,N/A
P4G.BE,Nimy Resources Ltd,0.1905,+0.0225,+13.39%,N/A,0,N/A,N/A
LX9B.SG,Lanxess AG,6.30,+0.05,+0.80%,0,0,N/A,N/A
9NI.BE,Nippon Paper Industries Co Ltd,7.90,0.00,0.00%,500,0,N/A,N/A
WX0.SG,Leo Lithium Ltd,0.6640,+0.0570,+9.39%,"16,000","14,178",N/A,N/A
CWA0.SG,Refined Metals Corp,0.0875,+0.0095,+12.18%,0,522,N/A,N/A
TPY1.BE,Tipco Asphalt PCL,0.4820,0.0000,0.00%,0,0,N/A,N/A
P4G.BE,Nimy Resources Ltd,0.1905,+0.0225,+13.39%,N/A,0,N/A,N/A
29HA.BE,Libero Copper & Gold Corp,0.0620,+0.0050,+8.77%,"3,000",0,N/A,N/A
88L.DU,Sylvamo Corp,39.86,+0.18,+0.45%,50,0,N/A,N/A
RR6.SG,Dakota Gold Corp,2.8800,+0.0200,+0.70%,0,4,N/A,N/A
SD5.BE,Steel Dynamics Inc,95.80,+0.05,+0.05%,2,0,N/A,N/A
ST5.SG,Steico SE,44.50,-0.70,-1.55%,0,616,N/A,N/A
LS3.BE,LSB Industries Inc,9.36,+0.05,+0.54%,325,0,N/A,N/A
AM1.BE,Argosy Minerals Ltd,0.2694,-0.0056,-2.04%,"3,000",0,N/A,N/A
NOH1.MU,Norsk Hydro ASA,6.29,-0.03,-0.44%,400,118,N/A,N/A
IU20.MU,Yara International ASA,16.10,0.00,0.00%,190,17,N/A,N/A
185.SG,Alcoa Corp,32.51,-0.32,-0.97%,0,303,N/A,N/A
SL50.SG,Recharge Resources Ltd,0.2280,+0.0070,+3.17%,"3,000","10,545",N/A,N/A
1EC.BE,Venator Materials PLC,0.0195,+0.0030,+18.18%,"3,600",0,N/A,N/A
LLJA.BE,Emerita Resources Corp,0.2680,0.0000,0.00%,400,7,N/A,N/A
4HM.DU,Vicat SA,27.75,-0.05,-0.18%,N/A,0,N/A,N/A
AVG.BE,Avantor Inc,18.18,-0.05,-0.25%,4,0,N/A,N/A
02M.BE,The Mosaic Co,32.48,+0.30,+0.93%,25,1,N/A,N/A
SDF.DU,K+S AG,15.78,+0.26,+1.64%,910,516,N/A,N/A
EDG.SG,Gold Fields Ltd,13.60,+0.50,+3.82%,0,531,11.161B,N/A
2I7.BE,Classic Minerals Ltd,0.0005,0.0000,0.00%,"50,000","3,571",N/A,N/A
XL5.MU,Latin Resources Ltd,0.1214,0.0000,0.00%,"15,000",892,N/A,N/A
CHP.SG,Citigold Corp Ltd,0.0025,0.0000,0.00%,0,0,N/A,N/A
PTJ.SG,Antilles Gold Ltd,0.0244,0.0000,0.00%,0,0,N/A,N/A
JHA.SG,James Hardie Industries PLC,24.80,0.00,0.00%,0,0,N/A,N/A
4HM.BE,Vicat SA,27.80,+0.05,+0.18%,200,0,N/A,N/A
B4T0.SG,CuFe Ltd,0.0060,0.0000,0.00%,0,0,N/A,N/A
8GC.HA,Glencore PLC,5.53,+0.04,+0.64%,10,129,N/A,N/A
WE7.BE,Evolution Mining Ltd,2.0840,+0.0410,+2.01%,"2,000",0,N/A,N/A
EML.MU,Emergent Metals Corp,0.0555,-0.0005,-0.89%,"5,000",0,N/A,N/A
JI3.BE,China Gold International Resources Corp Ltd,3.8600,+0.0200,+0.52%,"1,000",0,N/A,N/A
DFXN.BE,Sierra Metals Inc,0.2520,+0.0095,+3.92%,"1,400",25,N/A,N/A
S4D.BE,Sunrise Resources PLC,0.0010,0.0000,0.00%,"100,000",0,N/A,N/A
YAJ.BE,Kairos Minerals Ltd,0.0105,+0.0005,+5.00%,"143,333","2,648",N/A,N/A
ER7.BE,Eramet SA,89.95,-0.55,-0.61%,72,1,N/A,N/A
G7PA.BE,Energy Transition Minerals Ltd,0.0200,-0.0005,-2.44%,"300,000",0,N/A,N/A
CHP.BE,Citigold Corp Ltd,0.0020,0.0000,0.00%,"6,997",0,N/A,N/A
ICA.BE,Orica Ltd,9.50,-0.10,-1.04%,486,0,N/A,N/A
3R10.BE,Future Metals NL,0.0230,0.0000,0.00%,N/A,0,N/A,N/A
IU2.BE,Yara International ASA,32.23,+0.41,+1.29%,330,36,N/A,N/A
FFO1.BE,Fufeng Group Ltd,0.5000,+0.0220,+4.60%,0,0,N/A,N/A
S8QN.BE,Torq Resources Inc,0.2620,-0.0020,-0.76%,"1,000",17,N/A,N/A
I5R.BE,Image Resources NL,0.0550,-0.0008,-1.43%,"15,000","1,892",N/A,N/A
M2M2.BE,Nighthawk Gold Corp,0.3840,-0.0160,-4.00%,"6,000",17,N/A,N/A
DGV2.BE,Abacus Mining & Exploration Corp,0.0165,0.0000,0.00%,"33,000",0,N/A,N/A
IUB.BE,Impact Minerals Ltd,0.0065,0.0000,0.00%,"300,000","36,625",N/A,N/A
MJ4.SG,Metals Exploration PLC,0.0135,0.0000,0.00%,0,0,N/A,N/A
ARRD.SG,ArcelorMittal SA,25.64,+0.07,+0.27%,0,95,N/A,N/A
EG5.SG,Botswana Diamonds PLC,0.0117,0.0000,0.00%,0,0,N/A,N/A
JEVA.SG,Kenmare Resources PLC,5.0000,0.0000,0.00%,0,5,N/A,N/A
04U1.MU,Hanna Capital Corp,0.0055,0.0000,0.00%,"12,000","1,504",N/A,N/A
7BR.HM,Bulletin Resources Ltd,0.0400,+0.0109,+37.46%,"4,000",0,N/A,N/A
T5MC.F,Thor Mining PLC,0.0005,0.0000,0.00%,"10,000","7,901",N/A,N/A
SY1.HA,Symrise AG,95.02,+0.58,+0.61%,250,12,N/A,N/A
2HRA.HA,H&R GmbH & Co KGaA,5.34,-0.08,-1.48%,"8,150",0,N/A,N/A
VV00.MU,Edison Lithium Corp,0.0265,-0.0025,-8.62%,"3,000",0,N/A,N/A
KCO.HM,Kloeckner & Co SE,9.26,+0.13,+1.42%,"2,500",224,N/A,N/A
AOD.HM,Anglogold Ashanti Ltd,22.20,+0.20,+0.91%,90,1,N/A,N/A
NZM2.MU,Novozymes A/S,45.39,+0.28,+0.62%,25,2,N/A,N/A
AOD.HA,Anglogold Ashanti Ltd,22.20,+0.20,+0.91%,600,0,N/A,N/A
LYI.HM,Lynas Rare Earths Ltd,4.6065,+0.1425,+3.19%,"3,500",61,N/A,N/A
WMC1.HM,Alumina Ltd,0.8634,+0.0210,+2.49%,"38,910",0,N/A,N/A
NMA.HM,Newcrest Mining Ltd,16.36,+0.15,+0.95%,200,30,N/A,N/A
2J1A.F,Minnova Corp,0.0210,0.0000,0.00%,"1,310",53,N/A,N/A
TIH1.MU,PT Timah Tbk,0.0495,0.0000,0.00%,"10,000",178,N/A,N/A
GSM.MU,Grupo Simec SAB de CV,30.80,0.00,0.00%,0,0,N/A,N/A
MK0.MU,Makara Mining Corp,0.0110,0.0000,0.00%,30,179,N/A,N/A
AHUH.MU,Sixth Wave Innovations Inc,0.0125,0.0000,0.00%,"2,000",404,N/A,N/A
SQH.MU,Spearmint Resources Inc,0.0296,0.0000,0.00%,"4,000",71,N/A,N/A
G6A.MU,Golden Arrow Resources Corp,0.0795,0.0000,0.00%,"4,000",71,N/A,N/A
PZM.MU,Panoro Minerals Ltd,0.0895,0.0000,0.00%,"5,000",0,N/A,N/A
W2U1.MU,Avarone Metals Inc,0.0160,0.0000,0.00%,"4,250",2,N/A,N/A
K4L.MU,Nevada Sunrise Metals Corp,0.0880,0.0000,0.00%,"1,000",17,N/A,N/A
E5M.MU,Eagle Materials Inc,156.00,0.00,0.00%,6,0,N/A,N/A
FPO.MU,Petra Diamonds Ltd,0.7860,0.0000,0.00%,"3,000",53,N/A,N/A
L09.MU,Lithium Energi Exploration Inc,0.1450,0.0000,0.00%,"5,000",0,N/A,N/A
GXD.BE,Lundin Mining Corp,7.51,+0.11,+1.49%,"16,500",0,N/A,N/A
229.MU,PCC Rokita SA,22.95,0.00,0.00%,25,0,N/A,N/A
43W.BE,Fuse Battery Metals Inc,0.0240,-0.0030,-11.11%,"211,000","3,767",N/A,N/A
Z68.MU,Luca Mining Corp,0.3155,-0.0005,-0.16%,N/A,0,N/A,N/A
BOU1.MU,Bougainville Copper Ltd,0.2120,0.0000,0.00%,"5,000",205,N/A,N/A
B9TN.MU,North Peak Resources Ltd,0.9400,+0.0100,+1.08%,132,53,N/A,N/A
64O.MU,Rugby Resources Ltd,0.0445,0.0000,0.00%,N/A,0,N/A,N/A
YTAA.MU,Sri Trang Agro-Industry PLC,0.5000,0.0000,0.00%,133,2,N/A,N/A
RBG.MU,Rottneros AB,1.0280,0.0000,0.00%,"5,000",89,N/A,N/A
1D8.MU,Accsys Technologies PLC,0.8920,0.0000,0.00%,N/A,0,N/A,N/A
LXZ1.BE,Norsemont Mining Inc,0.1030,+0.0140,+15.73%,822,86,N/A,N/A
3LQ.MU,QMC Quantum Minerals Corp,0.1230,0.0000,0.00%,N/A,0,N/A,N/A
CCY.MU,Ceylon Graphite Corp,0.0440,0.0000,0.00%,"5,000",119,N/A,N/A
CDM1.MU,Coeur Mining Inc,2.8780,-0.0420,-1.44%,70,126,N/A,N/A
L41A.MU,Los Andes Copper Ltd,10.40,0.00,0.00%,25,0,N/A,N/A
CMS.MU,Commercial Metals Co,43.79,0.00,0.00%,477,8,N/A,N/A
VI9A.MU,Victoria Gold Corp,5.72,0.00,0.00%,50,119,N/A,N/A
BAJ.SG,Banyan Gold Corp,0.2500,0.0000,0.00%,0,"1,468",N/A,N/A
QXR2.MU,Desert Gold Ventures Inc,0.0450,0.0000,0.00%,"50,000",892,N/A,N/A
6NNA.MU,Golden Independence Mining Corp,0.2760,0.0000,0.00%,"6,000",563,N/A,N/A
MSI.SG,Mitsui Chemicals Inc,25.40,-1.20,-4.51%,0,4,N/A,N/A
MPG.BE,Mountain Province Diamonds Inc,0.3020,-0.0280,-8.48%,"3,164",0,N/A,N/A
YAJ.BE,Kairos Minerals Ltd,0.0105,+0.0005,+5.00%,"143,333","2,648",N/A,N/A
ER7.BE,Eramet SA,89.95,-0.55,-0.61%,72,1,N/A,N/A
AKU1.BE,Akzo Nobel NV,72.24,-0.10,-0.14%,2,0,N/A,N/A
NSC.SG,Nissan Chemical Corp,41.20,-0.40,-0.96%,0,8,N/A,N/A
AKU1.HA,Akzo Nobel NV,72.20,-0.16,-0.22%,30,0,N/A,N/A
HCL.BE,Hecla Mining Co,4.7450,-0.0150,-0.32%,500,110,N/A,N/A
KMSA.BE,KEFI Gold and Copper PLC,0.0035,0.0000,0.00%,"20,000",0,N/A,N/A
ND5.HA,Nitto Denko Corp,70.00,-0.50,-0.71%,5,0,N/A,N/A
G7PA.BE,Energy Transition Minerals Ltd,0.0200,-0.0005,-2.44%,"300,000",0,N/A,N/A
CHP.BE,Citigold Corp Ltd,0.0020,0.0000,0.00%,"6,997",0,N/A,N/A
ASAA.SG,Asahi Kasei Corp,6.26,-0.07,-1.14%,0,32,N/A,N/A
SWD.SG,Showa Denko KK,14.70,+0.10,+0.68%,0,0,N/A,N/A
ZCB.MU,Zenith Minerals Ltd,0.0570,-0.0030,-5.00%,"2,000",0,N/A,N/A
D4E.MU,Defiance Silver Corp,0.1050,+0.0006,+0.57%,"10,000",250,N/A,N/A
DCR1.HA,Canadian Palladium Resources Inc,0.0246,-0.0002,-0.81%,"127,500",0,N/A,N/A
I8M.HM,Sims Ltd,9.61,+0.13,+1.35%,700,0,N/A,N/A
SY7.MU,Metallica Metals Corp,0.0935,0.0000,0.00%,6,0,N/A,N/A
NZM2.MU,Novozymes A/S,45.39,+0.28,+0.62%,25,2,N/A,N/A
TLW.HA,Timeless Software Ltd,0.0025,-0.0005,-16.67%,"2,200",0,N/A,N/A
ICA.HM,Orica Ltd,9.60,0.00,0.00%,"1,000",0,N/A,N/A
T4W.HM,Toro Energy Ltd,0.0040,0.0000,0.00%,"25,000",0,N/A,N/A
BME.MU,Beijing Media Corp Ltd,0.0485,-0.0025,-4.90%,"1,000",0,N/A,N/A
DJ5.HM,Surge Battery Metals Inc,0.3320,-0.0060,-1.78%,N/A,0,N/A,N/A
P8O.HM,Metalicity Ltd,0.0010,0.0000,0.00%,"45,454",0,N/A,N/A
BRK1.MU,Silver One Resources Inc,0.2140,+0.0030,+1.42%,"3,333",184,N/A,N/A
WJ6.F,T2 Metals Corp,0.1170,0.0000,0.00%,"1,000",645,N/A,N/A
NI7.HA,Nippon Paint Holdings Co Ltd,7.95,+0.10,+1.27%,N/A,0,N/A,N/A
1WM.MU,Consolidated Uranium Inc,0.9380,-0.0320,-3.30%,400,29,N/A,N/A
CRG.HM,CRH PLC,47.62,-0.21,-0.44%,350,6,N/A,N/A
3FX0.F,Kootenay Silver Inc,0.0474,+0.0018,+3.95%,"5,000","1,827",N/A,N/A
0MZ.F,Newpath Resources Inc.,0.1060,+0.0100,+10.42%,28,4,2.234M,N/A
0G4.MU,Bioceres Crop Solutions Corp,11.40,+0.10,+0.88%,90,1,N/A,N/A
LAH1.MU,Interstahl Handel Holding AG,0.0600,0.0000,0.00%,"1,000",17,N/A,N/A
ARRJ.HA,ArcelorMittal SA,25.60,-0.20,-0.78%,N/A,0,N/A,N/A
PYV.SG,Pacific Metals Co Ltd,10.40,0.00,0.00%,0,3,N/A,N/A
T5MB.HA,Thor Mining PLC,0.0015,0.0000,0.00%,"10,000",0,N/A,N/A
6ZF0.MU,Apollo Silver Corp,0.0850,0.0000,0.00%,"7,900",141,N/A,N/A
KP1.MU,Kore Potash PLC,0.0080,0.0000,0.00%,"45,000",0,N/A,N/A
4XH.MU,Freeport Resources Inc,0.0220,0.0000,0.00%,"9,000",491,N/A,N/A
NPS.HA,Nippon Steel Corp,19.08,-0.27,-1.40%,3,0,N/A,N/A
SAO.MU,Sasol Ltd,12.90,+0.10,+0.78%,"1,500",26,N/A,N/A
P4Q.HM,Perseus Mining Ltd,1.0940,+0.0300,+2.82%,"2,600",85,N/A,N/A
NGLB.HA,Anglo American PLC,29.80,-0.20,-0.67%,525,9,N/A,N/A
FMV.HA,First Majestic Silver Corp,5.08,+0.02,+0.47%,500,0,N/A,N/A
WCH.MU,Wacker Chemie AG,121.65,0.00,0.00%,90,93,N/A,N/A
EDG.HA,Gold Fields Ltd,13.70,-0.10,-0.72%,100,1,N/A,N/A
CRG.HA,CRH PLC,47.62,-0.21,-0.44%,100,0,N/A,N/A
7BL.HA,Blue Lagoon Resources Inc,0.1060,0.0000,0.00%,"1,500",35,N/A,N/A
E861.HA,European Metals Holdings Ltd,0.4960,+0.0180,+3.77%,"2,000",0,N/A,N/A
ACT.MU,AlzChem Group AG,18.80,0.00,0.00%,150,10,N/A,N/A
3R10.BE,Future Metals NL,0.0230,0.0000,0.00%,N/A,0,N/A,N/A
S8QN.BE,Torq Resources Inc,0.2620,-0.0020,-0.76%,"1,000",17,N/A,N/A
I5R.BE,Image Resources NL,0.0550,-0.0008,-1.43%,"15,000","1,892",N/A,N/A
M2M2.BE,Nighthawk Gold Corp,0.3840,-0.0160,-4.00%,"6,000",17,N/A,N/A
DGV2.BE,Abacus Mining & Exploration Corp,0.0165,0.0000,0.00%,"33,000",0,N/A,N/A
5PMA.BE,GreenX Metals Ltd,0.5530,+0.0020,+0.36%,"6,000",418,N/A,N/A
CBZ.BE,Capral Ltd,4.0800,0.0000,0.00%,"1,000",0,N/A,N/A
ARRD.SG,ArcelorMittal SA,25.64,+0.07,+0.27%,0,95,N/A,N/A
KMSA.SG,KEFI Gold and Copper PLC,0.0060,0.0000,0.00%,0,"29,464",N/A,N/A
DH8C.BE,Lomiko Metals Inc,0.0075,0.0000,0.00%,"8,000",142,N/A,N/A
MJ4.BE,Metals Exploration PLC,0.0175,0.0000,0.00%,"7,800",0,N/A,N/A
IUB.BE,Impact Minerals Ltd,0.0065,0.0000,0.00%,"300,000","36,625",N/A,N/A
MJ4.SG,Metals Exploration PLC,0.0135,0.0000,0.00%,0,0,N/A,N/A
EG5.SG,Botswana Diamonds PLC,0.0117,0.0000,0.00%,0,0,N/A,N/A
ICA.BE,Orica Ltd,9.50,-0.10,-1.04%,486,0,N/A,N/A
IU2.BE,Yara International ASA,32.23,+0.41,+1.29%,330,36,N/A,N/A
KCN.BE,Kingsgate Consolidated Ltd,0.8205,+0.0500,+6.49%,"5,000",89,N/A,N/A
TMD0.BE,CVW CleanTech Inc,0.6250,-0.0050,-0.79%,N/A,0,N/A,N/A
FFO1.BE,Fufeng Group Ltd,0.5000,+0.0220,+4.60%,0,0,N/A,N/A
3WF.SG,GreenRoc Mining PLC,0.0510,0.0000,0.00%,0,0,N/A,N/A
NYG1.BE,Poseidon Nickel Ltd,0.0214,0.0000,0.00%,"7,000",0,N/A,N/A
3S7.BE,Syrah Resources Ltd,0.5590,+0.0178,+3.29%,"8,200",335,N/A,N/A
LXZ1.BE,Norsemont Mining Inc,0.1030,+0.0140,+15.73%,822,86,N/A,N/A
35E.BE,Eastfield Resources Ltd,0.0225,+0.0070,+45.16%,100,0,N/A,N/A
CVA.MU,Cleveland-Cliffs Inc,15.37,0.00,0.00%,"4,200",0,N/A,N/A
3OZ0.MU,Osisko Development Corp,4.1000,-0.0400,-0.97%,300,514,N/A,N/A
C0O.MU,Vital Battery Metals Inc,0.1900,0.0000,0.00%,"7,554",134,N/A,N/A
6Q5.MU,Fathom Nickel Inc,0.1750,0.0000,0.00%,"10,000","8,106",N/A,N/A
COQ.BE,Copper Mountain Mining Corp,1.7630,+0.0410,+2.38%,"2,500",0,N/A,N/A
8Q7.MU,Hercules Silver Corp,0.1230,-0.0030,-2.38%,"20,000",410,N/A,N/A
SY1U.MU,Symrise AG,23.80,0.00,0.00%,25,0,N/A,N/A
ALI.MU,Almonty Industries Inc,0.4185,0.0000,0.00%,"25,000","1,341",N/A,N/A
47A.MU,Kingman Minerals Ltd,0.0845,0.0000,0.00%,"4,000",30,N/A,N/A
PP0.MU,Alpha Copper Corp,0.0822,0.0000,0.00%,50,0,N/A,N/A
SJ3.MU,Sherwin-Williams Co,227.50,0.00,0.00%,25,0,N/A,N/A
S6Q1.BE,Silver Spruce Resources Inc,0.0050,0.0000,0.00%,"160,000",0,N/A,N/A
VM3.MU,Vulcan Minerals Inc,0.1505,0.0000,0.00%,"1,000",375,N/A,N/A
JMU.F,Jangada Mines PLC,0.0230,-0.0045,-16.36%,N/A,0,N/A,N/A
ORS.MU,Orex Minerals Inc,0.0210,0.0000,0.00%,"40,000","2,089",N/A,N/A
L41A.MU,Los Andes Copper Ltd,10.40,0.00,0.00%,25,0,N/A,N/A
CMS.MU,Commercial Metals Co,43.79,0.00,0.00%,477,8,N/A,N/A
VI9A.MU,Victoria Gold Corp,5.72,0.00,0.00%,50,119,N/A,N/A
BAJ.SG,Banyan Gold Corp,0.2500,0.0000,0.00%,0,"1,468",N/A,N/A
G1MN.MU,Globex Mining Enterprises Inc,0.5480,0.0000,0.00%,"20,600",508,N/A,N/A
QXR2.MU,Desert Gold Ventures Inc,0.0450,0.0000,0.00%,"50,000",892,N/A,N/A
SMS2.MU,PT Semen Indonesia (Persero) Tbk,0.3700,0.0000,0.00%,"1,500",26,N/A,N/A
64O.MU,Rugby Resources Ltd,0.0445,0.0000,0.00%,N/A,0,N/A,N/A
D7Q1.MU,Monument Mining Ltd,0.0610,0.0000,0.00%,"15,000",508,N/A,N/A
HM5.MU,Cyclone Metals Ltd,0.0015,0.0000,0.00%,"500,000","8,928",N/A,N/A
ASAA.SG,Asahi Kasei Corp,6.26,-0.07,-1.14%,0,32,N/A,N/A
AKU1.HA,Akzo Nobel NV,72.20,-0.16,-0.22%,30,0,N/A,N/A
IZGH.SG,ECR Minerals PLC,0.0005,0.0000,0.00%,0,267,N/A,N/A
VV00.MU,Edison Lithium Corp,0.0265,-0.0025,-8.62%,"3,000",0,N/A,N/A
I8M.MU,Sims Ltd,9.60,+0.12,+1.31%,200,0,N/A,N/A
6ME.MU,Metro Mining Ltd,0.0126,+0.0006,+5.00%,"1,200",21,N/A,N/A
AQE.BE,Anhui Conch Cement Co Ltd,2.4880,+0.0090,+0.36%,370,6,N/A,N/A
BBJ.MU,Advance ZincTek Ltd,1.1700,0.0000,0.00%,500,0,N/A,N/A
CLRS.MU,Clariant AG,13.60,0.00,0.00%,50,2,N/A,N/A
FUR.BE,Furukawa Co Ltd,9.75,-0.20,-2.01%,338,0,N/A,N/A
UCM.MU,Buzzi Unicem SpA,22.40,-0.56,-2.44%,800,52,N/A,N/A
E3E.MU,Elementis PLC,1.2600,0.0000,0.00%,"1,550",28,N/A,N/A
MJ4.SG,Metals Exploration PLC,0.0135,0.0000,0.00%,0,0,N/A,N/A
ADG.BE,Advanced Metallurgical Group NV,48.88,+0.69,+1.43%,100,11,N/A,N/A
NGLD.MU,Anglo American PLC,15.00,0.00,0.00%,170,48,N/A,N/A
DPN.SG,DIC Corp,16.70,-0.10,-0.60%,0,5,N/A,N/A
SWD.SG,Showa Denko KK,14.70,+0.10,+0.68%,0,0,N/A,N/A
NSC.SG,Nissan Chemical Corp,41.20,-0.40,-0.96%,0,8,N/A,N/A
JYR.SG,JSR Corp,21.20,-0.60,-2.75%,0,0,N/A,N/A
AKU1.BE,Akzo Nobel NV,72.24,-0.10,-0.14%,2,0,N/A,N/A
HCL.BE,Hecla Mining Co,4.7450,-0.0150,-0.32%,500,110,N/A,N/A
KMSA.BE,KEFI Gold and Copper PLC,0.0035,0.0000,0.00%,"20,000",0,N/A,N/A
ND5.HA,Nitto Denko Corp,70.00,-0.50,-0.71%,5,0,N/A,N/A
NYG1.BE,Poseidon Nickel Ltd,0.0214,0.0000,0.00%,"7,000",0,N/A,N/A
DH8C.BE,Lomiko Metals Inc,0.0075,0.0000,0.00%,"8,000",142,N/A,N/A
ARRD.SG,ArcelorMittal SA,25.64,+0.07,+0.27%,0,95,N/A,N/A
EG5.SG,Botswana Diamonds PLC,0.0117,0.0000,0.00%,0,0,N/A,N/A
3WF.SG,GreenRoc Mining PLC,0.0510,0.0000,0.00%,0,0,N/A,N/A
6ZA.BE,Zanaga Iron Ore Co Ltd,0.0840,+0.0005,+0.60%,"1,000",0,N/A,N/A
NMA.MU,Newcrest Mining Ltd,16.37,0.00,0.00%,202,4,N/A,N/A
BRDA.BE,Braskem SA,5.30,+0.20,+3.92%,"1,750",0,N/A,N/A
PLR.MU,Pilbara Minerals Ltd,3.0080,+0.0380,+1.28%,50,351,N/A,N/A
3PC.MU,Cementir Holding NV,7.34,0.00,0.00%,404,9,N/A,N/A
N9L.BE,Nippon Light Metal Holdings Co Ltd,9.15,0.00,0.00%,"3,000",55,N/A,N/A
IY4.MU,Imerys,35.56,+0.20,+0.57%,16,21,N/A,N/A
SY1U.F,Symrise AG,22.80,+0.60,+2.70%,9,7,N/A,N/A
3O10.MU,Allkem Ltd,9.95,+0.23,+2.37%,60,468,N/A,N/A
LMK1.MU,Landore Resources Ltd,0.1450,0.0000,0.00%,N/A,0,N/A,N/A
E861.BE,European Metals Holdings Ltd,0.4960,+0.0180,+3.77%,"1,000",0,N/A,N/A
90N.MU,Afyren,5.08,0.00,0.00%,70,1,N/A,N/A
HJIA.BE,Tivan Ltd,0.0479,0.0000,0.00%,"6,000",0,N/A,N/A
MPG.BE,Mountain Province Diamonds Inc,0.3020,-0.0280,-8.48%,"3,164",0,N/A,N/A
YAJ.BE,Kairos Minerals Ltd,0.0105,+0.0005,+5.00%,"143,333","2,648",N/A,N/A
ER7.BE,Eramet SA,89.95,-0.55,-0.61%,72,1,N/A,N/A
GIN1.MU,Givaudan SA,59.50,0.00,0.00%,12,2,N/A,N/A
