Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
PA2.F,Pan American Silver Corp.,13.90,+0.18,+1.27%,150,"2,448",5.113B,N/A
CMS.DE,Commercial Metals Company,43.64,0.00,0.00%,33,3,5.111B,5.39
0UV.F,Univar Solutions Inc.,32.40,-0.40,-1.22%,25,2,5.111B,12.71
I93A.F,Indorama Ventures Public Company Limited,0.8900,-0.0100,-1.11%,"1,676",105,5.078B,11.12
D1Y.F,China National Building Material Company Limited,0.5786,+0.0118,+2.08%,"13,998",574,5.033B,4.82
UF3.F,"UFP Industries, Inc.",80.90,+0.10,+0.12%,11,2,5.024B,8.62
MSI.F,"Mitsui Chemicals, Inc.",25.40,-0.20,-0.78%,6,4,4.951B,10.08
USX1.F,United States Steel Corporation,21.65,+0.03,+0.14%,40,30,4.902B,3.19
GSM.F,"Grupo Simec, S.A.B. de C.V.",28.20,0.00,0.00%,250,4,4.853B,12.82
OIC.F,OCI N.V.,22.64,+0.33,+1.48%,5,877,4.857B,6.84
AKQ.SG,"Industrias CH, S. A. B. de C. V.",9.65,-0.15,-1.53%,0,3,4.729B,8.39
4FV.F,"Grupo Simec, S.A.B. de C.V.",10.00,-0.10,-0.99%,"3,000",53,4.724B,12.99
SMM0.MU,"Sumitomo Chemical Company, Limited",14.30,0.00,0.00%,N/A,0,4.677B,7.90
47VS.F,Sibanye Stillwater Limited,6.60,-0.10,-1.49%,200,231,4.67B,4.93
2CU.F,The Chemours Company,31.00,+0.80,+2.65%,56,23,4.666B,9.97
47V.F,Sibanye Stillwater Limited,1.6400,0.0000,0.00%,"2,000","11,633",4.642B,4.97
SMM.F,"Sumitomo Chemical Company, Limited",2.7600,-0.0200,-0.72%,584,202,4.604B,7.89
JYR0.MU,JSR Corporation,22.00,0.00,0.00%,N/A,0,4.566B,30.14
FPE4.SG,Fuchs Petrolub SE,8.35,-0.10,-1.18%,0,3,4.565B,17.77
GCB.F,PTT Global Chemical Public Company Limited,0.9900,-0.0200,-1.98%,60,141,4.544B,N/A
BRD.SG,Braskem S.A.,11.00,-0.20,-1.79%,"3,000",633,4.528B,N/A
GCB1.F,PTT Global Chemical Public Company Limited,0.9950,-0.0450,-4.33%,240,0,4.523B,N/A
FPE.F,Fuchs Petrolub SE,29.90,0.00,0.00%,507,124,4.523B,15.82
JYR.F,JSR Corporation,21.20,-0.40,-1.85%,50,0,4.51B,29.44
FPE.DE,Fuchs Petrolub SE,29.85,-0.15,-0.50%,"2,306","16,237",4.5B,15.79
FPE3.F,Fuchs Petrolub SE,34.44,-0.10,-0.29%,30,138,4.478B,18.22
CLRS.F,Clariant AG,13.30,-0.20,-1.48%,30,6,4.46B,N/A
BRDA.F,Braskem S.A.,5.30,-0.05,-0.93%,"1,000",350,4.415B,N/A
BRD.F,Braskem S.A.,11.00,-0.10,-0.90%,500,195,4.41B,N/A
8LV.F,Livent Corporation,24.34,-0.20,-0.81%,881,"1,452",4.395B,16.01
