Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
X5Z1.F,ANZ Group Holdings Limited,14.50,+0.10,+0.69%,100,30,44.039B,10.07
DBSA.F,Banco Santander (Brasil) S.A.,5.85,+0.15,+2.63%,300,55,43.653B,16.71
IES.F,Intesa Sanpaolo S.p.A.,2.3855,+0.0595,+2.56%,"1,000","4,226",43.557B,8.52
IES.DE,Intesa Sanpaolo S.p.A.,2.3715,+0.0370,+1.58%,"47,289","35,652",43.508B,8.47
X5Z.F,ANZ Group Holdings Limited,13.90,+0.20,+1.46%,N/A,0,43.757B,9.59
CRIN.F,UniCredit S.p.A.,18.88,+0.01,+0.04%,488,"2,372",34.633B,4.75
GAH.F,Arthur J. Gallagher & Co.,193.30,+1.40,+0.73%,10,2,42.008B,38.66
BOY.DE,"Banco Bilbao Vizcaya Argentaria, S.A.",6.83,+0.08,+1.25%,"15,514","24,639",40.807B,6.26
BOY.F,"Banco Bilbao Vizcaya Argentaria, S.A.",6.76,+0.03,+0.39%,"1,910","1,966",40.35B,6.26
BBVA.SG,"Banco Bilbao Vizcaya Argentaria, S.A.",6.75,+0.05,+0.75%,"2,500",118,40.292B,6.08
N7I.MU,"Apollo Global Management, Inc.",69.98,+0.26,+0.37%,40,0,40.198B,N/A
N7I.F,"Apollo Global Management, Inc.",70.18,-0.48,-0.68%,200,20,40.129B,N/A
BBVA.F,"Banco Bilbao Vizcaya Argentaria, S.A.",6.65,-0.05,-0.75%,500,559,39.67B,6.16
CFX.DE,Capital One Financial Corporation,103.00,+1.00,+0.98%,340,219,39.326B,7.61
BBK.F,Truist Financial Corporation,29.40,+0.20,+0.68%,131,148,39.158B,6.95
4M4.F,Macquarie Group Limited,116.00,+2.00,+1.75%,6,23,45.126B,13.91
OCBB.F,Oversea-Chinese Banking Corporation Limited,17.00,+0.10,+0.59%,70,0,38.807B,7.02
CFX.F,Capital One Financial Corporation,101.00,-3.00,-2.88%,55,75,38.562B,7.46
AFL.F,Aflac Incorporated,63.50,-0.50,-0.78%,41,61,38.368B,9.88
MWZ.DE,"MetLife, Inc.",49.97,0.00,0.00%,10,34,38.268B,52.05
MWZ.F,"MetLife, Inc.",49.63,-0.52,-1.03%,45,4,38.258B,52.80
AFL.DE,Aflac Incorporated,63.10,-0.40,-0.63%,15,74,38.127B,9.83
PRU2.F,Prudential plc,26.40,+0.20,+0.76%,40,0,37.687B,40.00
