Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
4GM.F,"Grupo Bimbo, S.A.B. de C.V.",4.8800,-0.0400,-0.81%,440,234,21.801B,13.19
CBGB.F,Carlsberg A/S,145.00,+2.65,+1.86%,15,31,21.772B,21.71
UN41.F,Unicharm Corporation,6.80,-0.05,-0.73%,3,0,21.613B,45.33
CBGC.F,Carlsberg A/S,28.60,+0.40,+1.42%,194,6,21.604B,21.19
CBGA.F,Carlsberg A/S,197.00,+2.00,+1.03%,20,4,21.48B,29.19
CXU.F,"Church & Dwight Co., Inc.",87.20,-0.30,-0.34%,176,196,21.348B,55.54
UN4.F,Unicharm Corporation,34.20,0.00,0.00%,20,2,21.122B,45.60
KEL.F,Kellogg Company,60.14,-0.68,-1.12%,100,142,20.853B,26.73
KEL.DE,Kellogg Company,60.14,-0.02,-0.03%,99,276,20.757B,26.61
HO7.F,Hormel Foods Corporation,37.64,-0.55,-1.44%,13,558,20.743B,23.82
CHK.F,China Resources Beer (Holdings) Company Limited,6.30,0.00,0.00%,150,64,20.437B,35.00
AJI0.MU,"Ajinomoto Co., Inc.",37.80,0.00,0.00%,150,2,20.285B,42.47
AJI.F,"Ajinomoto Co., Inc.",36.60,-0.60,-1.61%,20,31,19.851B,41.59
OSM0.SG,Meta Data Limited,0.9500,+0.0550,+6.15%,0,2,19.459B,N/A
ITB.DE,Imperial Brands PLC,20.85,0.00,0.00%,"14,874","20,556",19.06B,10.07
ITB.F,Imperial Brands PLC,20.80,-0.05,-0.24%,85,"1,524",19.014B,10.15
ABW.F,"Asahi Group Holdings, Ltd.",36.69,-0.74,-1.98%,250,32,18.69B,18.25
ITBA.F,Imperial Brands PLC,20.40,-0.60,-2.86%,50,47,18.649B,9.58
SHD.F,"Shiseido Company, Limited",45.51,+2.64,+6.16%,114,4,18.549B,71.11
SHDA.F,"Shiseido Company, Limited",43.80,-0.40,-0.90%,4,0,17.796B,68.44
AFO2.F,Associated British Foods plc,22.20,+0.20,+0.91%,1,0,17.482B,20.18
RTH.F,Wilmar International Limited,26.60,0.00,0.00%,5,0,17.461B,7.47
CXX.F,The Clorox Company,141.20,-0.80,-0.56%,5,10,17.456B,256.73
RTHA.F,Wilmar International Limited,2.7680,-0.0090,-0.32%,"1,978",699,17.449B,7.69
AFO1.F,Associated British Foods plc,21.95,+0.25,+1.15%,400,188,17.245B,19.77
DR3.F,Dollarama Inc.,59.50,+0.50,+0.85%,100,1,17.204B,29.46
CFSL.F,"Coca-Cola FEMSA, S.A.B. de C.V.",81.00,-0.50,-0.61%,7,94,17.081B,93.10
ESWB.F,Essity AB (publ),24.68,+0.43,+1.77%,180,357,17.41B,25.18
ESW.F,Essity AB (publ),24.10,-0.35,-1.43%,46,28,16.826B,24.59
TF7A.F,"Tyson Foods, Inc.",45.76,-0.07,-0.15%,100,82,16.245B,12.04
KRZA.F,Kerry Group plc,89.00,+1.00,+1.14%,24,0,16.141B,25.95
JEM.F,"Jerónimo Martins, SGPS, S.A.",25.22,+0.02,+0.08%,40,32,15.9B,24.73
KRZ.F,Kerry Group plc,88.42,-0.88,-0.99%,265,70,15.849B,26.01
KAO.F,Kao Corporation,33.40,+0.35,+1.06%,22,6,15.785B,32.12
KAO0.MU,Kao Corporation,6.70,0.00,0.00%,10,0,15.69B,31.90
JEM0.F,"Jerónimo Martins, SGPS, S.A.",48.20,+0.60,+1.26%,N/A,0,15.661B,23.06
0L5.F,"Lamb Weston Holdings, Inc.",104.60,-1.60,-1.51%,15,21,15.517B,30.06
ESWB.MU,Essity AB,24.18,+0.07,+0.29%,75,1,16.983B,N/A
TSI.F,Tsingtao Brewery Company Limited,8.48,-0.18,-2.08%,880,141,15.444B,22.32
CAO.F,"Conagra Brands, Inc.",32.05,+0.45,+1.42%,250,15,15.353B,20.28
2OF.F,Coles Group Limited,11.20,+0.10,+0.90%,104,13,15.289B,21.96
TSI0.F,Tsingtao Brewery Company Limited,41.20,+0.40,+0.98%,10,0,15.206B,21.80
LVN.SG,CP ALL Public Company Limited,1.6300,-0.0100,-0.61%,0,26,15.138B,40.75
JM2.F,The J. M. Smucker Company,139.70,-0.90,-0.64%,20,2,15.058B,N/A
EZQ.F,China Mengniu Dairy Company Limited,3.6400,+0.0600,+1.68%,22,14,14.836B,21.41
WX5.F,George Weston Limited,105.00,-1.00,-0.94%,1,0,14.723B,11.84
58H.F,Davide Campari-Milano N.V.,12.94,+0.09,+0.70%,300,709,14.624B,41.76
CFS5.F,"Coca-Cola FEMSA, S.A.B. de C.V.",8.05,-0.10,-1.23%,35,235,14.556B,16.43
ZX6.DU,DSM-Firmenich AG,98.90,+0.42,+0.43%,20,12,15.243B,N/A
65K.F,Molson Coors Canada Inc.,62.00,+0.50,+0.81%,50,0,13.54B,N/A
