31. Aug 2011,Delisted (Notierungsaufnahme),Stoney Plains Resources Corp., -kein-,None,None," € 1,10 "," € 11.000.000,00"
31. Aug 2011,Delisted (Notierungsaufnahme),Resource Conversion PLC, -kein-,None,None," € 0,28 "," € 1.425.000,00"
31. Aug 2011,Delisted (Notierungsaufnahme),Pro Financial Holdings Inc., -kein-,None,None," € 0,51 "," € 2.550.000,00"
31. Aug 2011,Delisted (Notierungsaufnahme),Venatus Interactive PLC, -kein-,None,None," € 3,75 "," € 11.250.000,00"
31. Aug 2011,Delisted (Notierungsaufnahme),Adera Energy PLC, -kein-,None,None," € 0,50 "," € 2.500.000,00"
30. Aug 2011,Delisted (Notierungsaufnahme),INT Teleworld Inc., -kein-,None,None," € 1,10 "," € 5.500.000,00"
29. Aug 2011,Delisted (Notierungsaufnahme),Artificial Life Source Holding PLC, -kein-,None,None," € 1,65 "," € 164.500.000,00"
29. Aug 2011,Delisted (Notierungsaufnahme),Aspire International Group Ltd, -kein-,None,None," € 0,44 "," € 2.203.740,00"
29. Aug 2011,Delisted (Notierungsaufnahme),Citygrow Energy Sytems PLC, -kein-,None,None," € 0,13 "," € 580.500,00"
26. Aug 2011,Delisted (Notierungsaufnahme),N Square Technologies PLC, -kein-,None,None," € 0,13 "," € 585.000,00"
26. Aug 2011,Delisted (Notierungsaufnahme),Blessing Capital Inc., -kein-,None,None," € 0,50 "," € 1.250.000,00"
26. Aug 2011,Delisted (Notierungsaufnahme),GENR Global Earth Natural Resources Inc., -kein-,None,None," € 0,99 "," € 44.550.000,00"
22. Aug 2011,Delisted (Notierungsaufnahme),Vasseti (UK) PLC, Industrie,None,None," € 1,25 "," € 1.500.000.000,00"
16. Aug 2011,Delisted (Notierungsaufnahme),Mostoles Game PLC, -kein-,None,None," € 0,10 "," € 16.732.865,00"
12. Aug 2011,Delisted (Notierungsaufnahme),Sunercon Inc., -kein-,None,None," € 0,15 "," € 1.650.000,00"
11. Aug 2011,Delisted (Notierungsaufnahme),Refuel Refinery Group PLC, -kein-,None,None," € 1,85 "," € 46.435.000,00"
09. Aug 2011,Delisted (Notierungsaufnahme),Ultimaxus PLC, -kein-,None,None," € 3,82 "," € 17.190.000,00"
05. Aug 2011,Delisted (Notierungsaufnahme),FilmOn.com PLC, -kein-,None,None," € 4,50 "," € 49.525.713,00"
03. Aug 2011,Delisted (Notierungsaufnahme),Agrar Invest Romania AG, -kein-,None,None," € 1,00 "," € 12.028.986,95"
28. Jul 2011,Delisted (Notierungsaufnahme),Lion E-Mobility AG, -kein-,None,None," € 1,03 "," € 5.150.000,00"
